year,Public safety / crime,Governance / operations,Politics / elections,Housing,Transportation / streets / infrastructure,Culture / history,Data / methods,Cross-cutting series,Health / human services,Education / youth,Economy / labor / tech,Demography / immigration,Race / inequality,Climate / environment,Other / unclassified,
2021,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,
2022,59%,0%,2%,0%,11%,15%,2%,4%,0%,0%,0%,0%,0%,0%,7%,
2023,39%,6%,0%,3%,3%,17%,12%,13%,3%,1%,1%,0%,1%,1%,2%,
2024,30%,10%,3%,1%,13%,13%,8%,17%,2%,1%,2%,0%,0%,0%,0%,
2025,19%,16%,8%,10%,10%,13%,3%,10%,3%,3%,2%,0%,0%,1%,1%,
2026,26%,10%,2%,11%,16%,3%,0%,10%,5%,2%,3%,6%,0%,3%,3%,
