year,Public safety / crime,Governance / politics,Housing / land use,Culture / history,Data / methods,Cross-cutting series,Health / human services,Education / youth,Economy / labor / tech,Demography / immigration,Race / inequality,Climate / environment,Other / unclassified
2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.586957,0.021739,0.108696,0.152174,0.021739,0.043478,0.0,0.0,0.0,0.0,0.0,0.0,0.065217
2023,0.393548,0.058065,0.051613,0.167742,0.116129,0.129032,0.025806,0.012903,0.012903,0.0,0.006452,0.006452,0.019355
2024,0.300448,0.125561,0.143498,0.125561,0.076233,0.170404,0.022422,0.008969,0.017937,0.0,0.004484,0.0,0.004484
2025,0.191638,0.240418,0.202091,0.125436,0.031359,0.097561,0.034843,0.027875,0.02439,0.003484,0.003484,0.006969,0.010453
2026,0.258065,0.129032,0.258065,0.032258,0.0,0.096774,0.048387,0.016129,0.032258,0.064516,0.0,0.032258,0.032258
